age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
8–10,Foreign Language,German,Listening comprehension through short stories and videos,easy,scene_description,Hör zu: 'Die Lehrerin schreibt an die Tafel.',Die Lehrerin schreibt an die Tafel.,"[""Recognize 'Lehrerin' (teacher)."", ""Identify 'schreibt' (writes)."", 'Understand classroom context.']"
8–10,Foreign Language,Arabic,Listening comprehension through short stories and videos,easy,scene_description,استمع: 'الولد يأكل تفاحة حمراء.',الولد يأكل تفاحة.,"[""Recognize 'يأكل' (eats)."", ""Identify 'تفاحة' (apple)."", 'Simplify color detail for clarity.']"
8–10,Foreign Language,Italian,Listening comprehension through short stories and videos,medium,short_story,Ascolta: 'Il ragazzo guarda il tramonto dal balcone.',Il ragazzo guarda il tramonto.,"[""Recognize 'guarda' (watches)."", ""Identify 'tramonto' (sunset)."", 'Understand evening visual scene.']"
8–10,Foreign Language,Spanish,Listening comprehension through short stories and videos,easy,short_video_scene,Escucha: 'El perro juega con una pelota en el jardín.',El perro juega con una pelota.,"[""Recognize 'juega' (plays)."", ""Identify 'pelota' (ball)."", 'Understand garden setting.']"
8–10,Foreign Language,French,Listening comprehension through short stories and videos,medium,story_summary,Écoute: 'La fille aide sa mère à préparer le repas du soir.',La fille aide sa mère à cuisiner.,"[""Recognize 'aide' (helps)."", ""Identify 'préparer le repas' (prepare the meal)."", 'Summarize family activity.']"
8–10,Foreign Language,German,Listening comprehension through short stories and videos,hard,narration,Hör zu: 'Am Sonntagmorgen backt die Mutter Brot und macht Kaffee.',Die Mutter backt Brot und macht Kaffee.,"[""Recognize 'backt' (bakes)."", ""Identify 'macht Kaffee' (makes coffee)."", 'Understand Sunday morning context.']"
8–10,Foreign Language,Arabic,Listening comprehension through short stories and videos,medium,story_detail,استمع: 'تسقي الفتاة الزهور بالماء كل صباح.',الفتاة تسقي الزهور كل صباح.,"[""Recognize 'تسقي' (waters)."", ""Identify 'الزهور' (flowers)."", 'Understand daily routine.']"
8–10,Foreign Language,Italian,Listening comprehension through short stories and videos,hard,story_summary,"Ascolta: 'Durante l’inverno, la famiglia resta in casa e gioca a carte.'",La famiglia resta in casa e gioca a carte.,"[""Recognize 'resta' (stays) and 'gioca' (plays)."", 'Identify winter setting.', 'Summarize indoor activity.']"
8–10,Foreign Language,Spanish,Listening comprehension through short stories and videos,medium,dialogue,Escucha: 'Lucía dice: ¿Qué haces? Pablo responde: Estoy dibujando un árbol.',Pablo está dibujando un árbol.,"[""Recognize 'dibujando' (drawing)."", ""Identify 'árbol' (tree)."", 'Summarize conversation result.']"
8–10,Foreign Language,French,Listening comprehension through short stories and videos,easy,scene_description,Écoute: 'Le garçon court sur le terrain de jeu.',Le garçon court sur le terrain.,"[""Recognize 'court' (runs)."", ""Identify 'terrain de jeu' (playground)."", 'Simplify sentence for understanding.']"
8–10,Foreign Language,German,Listening comprehension through short stories and videos,medium,story_summary,Hör zu: 'Die Kinder basteln bunte Karten für den Geburtstag ihrer Mutter.',Die Kinder basteln Karten für ihre Mutter.,"[""Recognize 'basteln' (make crafts)."", ""Identify 'Geburtstag' (birthday)."", 'Summarize main action: making cards.']"
8–10,Foreign Language,Arabic,Listening comprehension through short stories and videos,hard,story_detail,استمع: 'تقرأ الأم كتابًا عن الحيوانات لابنتها الصغيرة.',الأم تقرأ كتابًا لابنتها.,"[""Recognize 'تقرأ' (reads)."", ""Identify 'ابنتها' (her daughter)."", 'Understand bedtime reading context.']"
8–10,Foreign Language,Italian,Listening comprehension through short stories and videos,medium,narration,Ascolta: 'Il papà aggiusta la bicicletta nel garage.',Il papà aggiusta la bicicletta.,"[""Recognize 'aggiusta' (fixes)."", ""Identify 'bicicletta' (bicycle)."", 'Understand garage context.']"
8–10,Foreign Language,Spanish,Listening comprehension through short stories and videos,hard,story_summary,Escucha: 'Los niños decoran la casa para la fiesta de cumpleaños.',Los niños decoran la casa para la fiesta.,"[""Recognize 'decoran' (decorate)."", ""Identify 'fiesta' (party)."", 'Summarize celebration preparation.']"
8–10,Foreign Language,French,Listening comprehension through short stories and videos,hard,narration,"Écoute: 'Le soir, les enfants regardent les étoiles avec leur père.'",Les enfants regardent les étoiles le soir.,"[""Recognize 'regardent' (watch)."", ""Identify 'étoiles' (stars)."", 'Understand night activity.']"
8–10,Foreign Language,German,Listening comprehension through short stories and videos,easy,scene_description,Hör zu: 'Die Katze sitzt auf dem Fensterbrett.',Die Katze sitzt am Fenster.,"[""Recognize 'sitzt' (sits)."", ""Identify 'Fensterbrett' (windowsill)."", 'Simplify sentence for understanding.']"
8–10,Foreign Language,Arabic,Listening comprehension through short stories and videos,medium,story_summary,استمع: 'الولد يشاهد التلفاز بعد أن ينهي واجبه.',الولد يشاهد التلفاز بعد الواجب.,"[""Recognize 'يشاهد' (watches)."", ""Identify 'واجب' (homework)."", 'Understand activity sequence.']"
8–10,Foreign Language,Italian,Listening comprehension through short stories and videos,easy,scene_description,Ascolta: 'La mamma cucina la pasta in cucina.',La mamma cucina la pasta.,"[""Recognize 'cucina' (cooks)."", ""Identify 'pasta'."", 'Understand kitchen activity.']"
8–10,Foreign Language,Spanish,Listening comprehension through short stories and videos,medium,narration,Escucha: 'El abuelo pasea por el parque y alimenta a los pájaros.',El abuelo pasea y alimenta a los pájaros.,"[""Recognize 'pasea' (walks) and 'alimenta' (feeds)."", ""Identify 'pájaros' (birds)."", 'Summarize peaceful park scene.']"
8–10,Foreign Language,French,Listening comprehension through short stories and videos,easy,scene_description,Écoute: 'La fille écrit une lettre à sa grand-mère.',La fille écrit une lettre.,"[""Recognize 'écrit' (writes)."", ""Identify 'lettre' (letter)."", 'Simplify purpose detail.']"
8–10,Foreign Language,German,Listening comprehension through short stories and videos,hard,story_detail,Hör zu: 'Am Nachmittag lesen die Kinder Bücher in der Bibliothek.',Die Kinder lesen Bücher am Nachmittag.,"[""Recognize 'lesen' (read)."", ""Identify 'Bibliothek' (library)."", 'Understand afternoon reading setting.']"
8–10,Foreign Language,Arabic,Listening comprehension through short stories and videos,hard,story_summary,استمع: 'الأب يساعد ابنه في صنع الطائرة الورقية.',الأب يساعد ابنه في صنع الطائرة.,"[""Recognize 'يساعد' (helps)."", ""Identify 'الطائرة الورقية' (kite)."", 'Understand parent-child collaboration.']"
8–10,Foreign Language,Italian,Listening comprehension through short stories and videos,medium,story_summary,"Ascolta: 'Nel pomeriggio, gli amici giocano a calcio al parco.'",Gli amici giocano a calcio nel pomeriggio.,"[""Recognize 'giocano a calcio' (play soccer)."", 'Identify time: afternoon.', 'Summarize play scene.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_practice,"Casa, escuela, amigo, perro","Home, school, friend, dog","['Translate each word to English.', 'Identify if the noun is related to daily life or school.', 'Practice pronunciation.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,matching_words,"Bonjour – Hello, Cahier – Notebook, Chaise – Chair",Match French words to English meanings correctly.,"['Read each French word aloud.', 'Find its English equivalent.', 'Check for correct matches.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,Ich gehe jeden Tag zur ______ (Schule).,Ich gehe jeden Tag zur Schule.,"['Identify the missing word: Schule = school.', 'Insert the correct noun.', 'Read the full sentence.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,picture_description,الولد في المدرسة (The boy is at school),school = مدرسة (madrasa),"['Recognize the word مدرسة.', ""Relate it to the concept 'school'."", 'Practice pronouncing it correctly.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Vado a scuola ogni mattina.,I go to school every morning.,"[""Translate 'Vado' = I go."", ""Translate 'a scuola' = to school."", 'Combine to form full English sentence.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_practice,¿Dónde está el hotel? — Está cerca de la playa.,Where is the hotel? — It’s near the beach.,"[""Recognize question form '¿Dónde está...?'"", ""Identify place word 'hotel' and 'playa'."", 'Translate and rehearse as a mini-dialogue.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,travel_vocabulary,Je prends le train pour aller à Paris.,I take the train to go to Paris.,"[""Translate verb 'prendre' (to take)."", ""Identify transport noun 'train'."", 'Understand travel context.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,hobby_list,"lesen (reading), schwimmen (swimming), malen (painting)","Hobbies: reading, swimming, painting","['Learn each German hobby word.', 'Say them aloud.', 'Write a sentence using one hobby.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_translation,أين المطار؟ (Where is the airport?),The airport is over there. – المطار هناك,"[""Recognize 'أين' = Where."", ""Identify 'المطار' = airport."", 'Translate and practice conversation.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,description_activity,"Nel weekend, vado in montagna con i miei amici.","On the weekend, I go to the mountains with my friends.","[""Translate 'vado in montagna' = go to the mountains."", ""Recognize 'con i miei amici' = with my friends."", 'Combine to form a full sentence.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,"En la escuela, Ana escribe y dibuja en su cuaderno.",Ana writes and draws in her notebook at school.,"[""Identify verbs 'escribe' (writes) and 'dibuja' (draws)."", ""Recognize noun 'cuaderno' (notebook)."", 'Summarize in English.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,Je joue au ______ (football) après l’école.,Je joue au football après l’école.,"[""Recognize 'joue au' = play."", ""Identify correct sport word 'football'."", 'Read the full sentence aloud.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,fill_in_the_blank,Am Morgen esse ich ______ (Brot).,Am Morgen esse ich Brot.,"[""Translate: 'In the morning I eat bread.'"", ""Recognize 'Brot' = bread."", 'Complete and say sentence aloud.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_paragraph,أنا أذهب إلى المدرسة صباحاً وألعب في المساء.,I go to school in the morning and play in the evening.,"[""Identify verbs 'أذهب' (I go) and 'ألعب' (I play)."", ""Recognize time words 'صباحاً' (morning), 'المساء' (evening)."", 'Translate and read aloud.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_match,"Libro – Book, Penna – Pen, Zaino – Backpack",Match each Italian school object with English.,"['Identify each Italian noun.', 'Connect with its English equivalent.', 'Check correct matches.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,listening_comprehension,"Audio: 'En el parque, los niños juegan con una pelota roja.'",Children play with a red ball in the park.,"[""Identify action 'juegan' = play."", ""Note color adjective 'roja' = red."", 'Summarize sentence meaning.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_quiz,"Translate: école, maison, stylo, chat.","school, house, pen, cat.","['Look up each French word.', 'Write translations.', 'Repeat aloud for memorization.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,Lukas reist nach Berlin mit dem Zug und besucht das Museum.,Lukas travels to Berlin by train and visits the museum.,"[""Recognize verbs 'reist' (travels) and 'besucht' (visits)."", ""Identify transport word 'Zug' (train)."", 'Summarize in English.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,reading_sentence,أنا أحب القراءة والسفر.,I love reading and traveling.,"[""Recognize 'أحب' = I love."", ""Identify hobbies 'القراءة' (reading) and 'السفر' (traveling)."", 'Translate the full sentence.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,mini_dialogue,– Dove vai oggi? – Vado al cinema con mia sorella.,– Where are you going today? – I’m going to the cinema with my sister.,"[""Recognize 'Dove vai?' = Where are you going?"", ""Translate 'al cinema' = to the cinema."", 'Practice the short dialogue.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,object_identification,"Mochila, libro, lápiz, mesa","Backpack, book, pencil, table","['Read each Spanish word aloud.', 'Translate to English.', ""Identify which words belong to 'school' vocabulary.""]"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_building,Je vais à l’école avec mon sac.,I go to school with my bag.,"[""Recognize 'Je vais' = I go."", ""Translate 'à l’école' = to school."", ""Translate 'avec mon sac' = with my bag.""]"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_match,"Buch – Book, Tisch – Table, Apfel – Apple",Match German words with English meanings.,"['Read each German word.', 'Match with its English translation.', 'Practice pronunciation.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,أنا أحب المدرسة.,I love school.,"[""Recognize 'أنا' = I."", ""Identify 'أحب' = love."", ""Translate 'المدرسة' = school.""]"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,context_sentence,Il ragazzo studia e gioca a calcio dopo la scuola.,The boy studies and plays soccer after school.,"[""Translate 'studia' = studies."", ""Recognize 'gioca a calcio' = plays soccer."", 'Summarize sentence meaning.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_practice,¿Qué haces los fines de semana? — Juego al tenis con mis amigos.,What do you do on weekends? — I play tennis with my friends.,"[""Recognize question structure '¿Qué haces...?'"", ""Identify 'juego al tenis' = play tennis."", 'Translate and practice aloud.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,"Le matin, Sophie prépare son sac et prend le bus pour aller à l’école.","In the morning, Sophie packs her bag and takes the bus to school.","[""Translate verbs 'prépare' = prepares, 'prend' = takes."", 'Identify school-related nouns.', 'Summarize in English.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Ich spiele Gitarre in meiner Freizeit.,I play guitar in my free time.,"[""Identify 'spiele' = play."", ""Recognize 'Freizeit' = free time."", 'Combine to form full translation.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,في المساء، أدرس اللغة العربية وأشاهد التلفاز.,"In the evening, I study Arabic and watch TV.","[""Identify verbs 'أدرس' (study) and 'أشاهد' (watch)."", ""Recognize time phrase 'في المساء' (in the evening)."", 'Translate to English.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,listening_sentence,Audio: 'Oggi andiamo al mercato per comprare la frutta.',Today we go to the market to buy fruit.,"[""Identify action 'andiamo' = we go."", ""Translate 'mercato' = market."", 'Summarize meaning.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,Mi hermano juega al ______ (fútbol).,Mi hermano juega al fútbol.,"[""Recognize 'juega' = plays."", 'Insert correct sport word.', 'Read complete sentence.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_list,"école, livre, crayon, table","school, book, pencil, table","['Translate each word.', ""Classify as 'school items'."", 'Practice writing them.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,mini_dialogue,– Wo ist dein Rucksack? – Er ist im Klassenzimmer.,– Where is your backpack? – It is in the classroom.,"[""Translate question word 'Wo' = where."", ""Identify 'Rucksack' = backpack."", 'Translate and practice conversation.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_practice,"كتاب (book), قلم (pen), حقيبة (bag)","Book, pen, bag","['Read and repeat each Arabic word.', 'Match with English meanings.', 'Write each word twice for practice.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,translation_task,Mi piace leggere e disegnare.,I like reading and drawing.,"[""Recognize 'Mi piace' = I like."", ""Identify activities 'leggere' and 'disegnare'."", 'Translate and read aloud.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,"Durante las vacaciones, viajamos a Madrid y visitamos museos.","During the holidays, we traveled to Madrid and visited museums.","[""Translate 'viajamos' = traveled."", ""Identify 'museos' = museums."", 'Summarize meaning.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,conversation,"– Tu aimes le sport ? – Oui, j’adore le basket.","– Do you like sports? – Yes, I love basketball.","[""Recognize 'Tu aimes' = Do you like."", ""Identify hobby 'le basket'."", 'Translate full dialogue.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_translation,"Schule, Freund, Ball, Haus","School, friend, ball, house","['Translate each word.', 'Categorize them (school, home, play).', 'Practice saying aloud.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,أنا أذهب إلى ______ (المدرسة).,أنا أذهب إلى المدرسة.,"[""Recognize verb 'أذهب' = I go."", ""Insert missing noun 'المدرسة'."", 'Read full sentence aloud.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,"Durante il viaggio, Luca ha scattato molte foto e ha comprato souvenir.","During the trip, Luca took many photos and bought souvenirs.","[""Translate verbs 'ha scattato' (took photos) and 'ha comprato' (bought)."", 'Identify context: travel.', 'Summarize meaning.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,fill_in_the_blank,Voy al ______ para estudiar. (colegio),Voy al colegio para estudiar.,"['Identify context: place for studying.', ""Insert 'colegio' (school)."", 'Read full Spanish sentence.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_association,"chaise (chair), table (table), livre (book)",Furniture and classroom words.,"['Translate each noun.', 'Group by category.', 'Practice pronunciation.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,mini_dialogue,– Was machst du am Wochenende? – Ich gehe schwimmen.,– What do you do on the weekend? – I go swimming.,"[""Recognize 'Was machst du?' = What do you do?"", ""Translate 'gehe schwimmen' = go swimming."", 'Practice the dialogue aloud.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,translation_exercise,أنا أكتب واجبي في البيت.,I write my homework at home.,"[""Identify verb 'أكتب' = I write."", ""Recognize 'واجبي' = my homework."", 'Translate full sentence.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_quiz,"Scuola, matita, libro, amico","School, pencil, book, friend","['Translate each Italian word.', 'Group related terms (school, daily).', 'Repeat aloud.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,Carlos viaja a la montaña con su familia y toma muchas fotos.,Carlos travels to the mountains with his family and takes many photos.,"[""Translate 'viaja' = travels."", ""Recognize context 'montaña' = mountain."", 'Summarize in English.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_reordering,à / Je / vais / l’école.,Je vais à l’école.,"['Arrange words in correct order.', 'Ensure subject–verb agreement.', 'Read the full sentence aloud.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_review,"Haus, Auto, Schule, Freund","House, car, school, friend","['Translate each noun.', 'Say each word in a sentence.', 'Practice spelling in German.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,paragraph_translation,أنا أسافر إلى القاهرة وأزور المتحف.,I travel to Cairo and visit the museum.,"[""Identify 'أسافر' = I travel."", ""Recognize 'المتحف' = museum."", 'Translate sentence completely.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Mi piace nuotare in piscina.,I like swimming in the pool.,"[""Translate 'Mi piace' = I like."", ""Recognize 'nuotare' = to swim."", 'Combine to form complete translation.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,object_match,"Mesa – Table, Gato – Cat, Libro – Book",Correctly match Spanish words to English meanings.,"['Read each pair.', 'Translate and check accuracy.', 'Repeat aloud for memory.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,Paul aime voyager avec sa famille pendant les vacances d’été.,Paul likes traveling with his family during summer holidays.,"[""Recognize 'aime voyager' = likes to travel."", ""Translate 'pendant les vacances' = during holidays."", 'Summarize meaning.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_translation,– Wie kommst du zur Schule? – Ich gehe zu Fuß.,– How do you get to school? – I walk.,"[""Identify 'Wie kommst du?' = How do you come?"", ""Recognize 'zu Fuß' = on foot."", 'Translate full dialogue.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_practice,"مدرسة (school), بيت (house), حديقة (garden)","School, house, garden","['Read each Arabic noun.', 'Translate into English.', 'Practice pronunciation.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_paragraph,La mattina leggo un libro e bevo il latte.,In the morning I read a book and drink milk.,"[""Recognize verbs 'leggo' = read, 'bevo' = drink."", ""Identify time word 'mattina'."", 'Translate full meaning.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_fill,— ¿Adónde vas? — Voy al ______ (parque).,— ¿Adónde vas? — Voy al parque.,"[""Identify place noun 'parque'."", 'Fill in the blank correctly.', 'Read dialogue aloud.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_table,"stylo – pen, école – school, livre – book",Correctly match school-related words.,"['Learn each translation.', 'Write a simple sentence with each.', 'Say them aloud.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,Am Wochenende fährt die Familie ans Meer und macht ein Picknick.,"On the weekend, the family goes to the sea and has a picnic.","[""Translate verbs 'fährt' (goes) and 'macht' (does/makes)."", ""Recognize noun 'Meer' = sea."", 'Summarize story meaning.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,reading_sentence,أذهب إلى السوق مع أصدقائي.,I go to the market with my friends.,"[""Recognize 'أذهب' = I go."", ""Identify 'السوق' = market."", 'Translate full sentence.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,mini_dialogue,"– Ti piace viaggiare? – Sì, mi piace molto!","– Do you like traveling? – Yes, I like it a lot!","[""Recognize 'Ti piace' = Do you like."", ""Translate 'mi piace molto' = I like it a lot."", 'Practice the conversation aloud.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,"Por la tarde, Marta va al parque con su perro y juega con la pelota.","In the afternoon, Marta goes to the park with her dog and plays with the ball.","[""Translate 'por la tarde' = in the afternoon."", ""Recognize verbs 'va' (goes) and 'juega' (plays)."", 'Combine for full translation.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,Je mange une ______ (pomme).,Je mange une pomme.,"[""Identify missing noun 'pomme' = apple."", 'Insert correctly in sentence.', 'Read aloud for practice.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_match,"Hund – Dog, Katze – Cat, Vogel – Bird",Match animal words to their English meanings.,"['Translate each animal word.', 'Say them aloud.', 'Write one example sentence.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,أنا أقرأ كتاباً في الغرفة.,I read a book in the room.,"[""Identify 'أقرأ' = I read."", ""Translate 'كتاباً' = book, 'الغرفة' = room."", 'Combine to form translation.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_list,"mela, scuola, bicicletta, casa","apple, school, bicycle, house","['Translate each Italian word.', 'Group them by theme (home, travel).', 'Practice writing them.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_practice,— ¿Cómo vas al trabajo? — Voy en autobús.,— How do you go to work? — I go by bus.,"[""Recognize question word 'cómo' = how."", ""Identify transport 'autobús'."", 'Practice dialogue aloud.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_paragraph,"Le soir, je fais mes devoirs, puis je regarde la télévision.","In the evening, I do my homework, then I watch television.","[""Translate verbs 'fais' (do) and 'regarde' (watch)."", ""Identify 'le soir' = in the evening."", 'Summarize meaning.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,translation_exercise,Ich fahre mit dem Bus zur Schule.,I go to school by bus.,"[""Recognize 'fahre' = go/ride."", ""Identify 'mit dem Bus' = by bus."", 'Translate whole sentence.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_translation,"مدرس (teacher), طالب (student), كتاب (book)","Teacher, student, book","['Translate each Arabic word.', 'Say them aloud.', 'Write each word twice for practice.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,"Durante l’estate, visitiamo Roma e mangiamo il gelato ogni giorno.","During the summer, we visit Rome and eat ice cream every day.","[""Translate 'visitiamo' = we visit, 'mangiamo' = we eat."", ""Recognize time 'durante l’estate' = during the summer."", 'Summarize story meaning.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Leo libros en la biblioteca.,I read books in the library.,"[""Recognize 'leo' = I read."", ""Translate 'biblioteca' = library."", 'Combine to form translation.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_practice,"chien (dog), chat (cat), oiseau (bird)","Dog, cat, bird","['Translate each animal.', 'Repeat pronunciation.', 'Use in simple sentences.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,mini_story,Am Nachmittag spielt Anna Klavier und liest ein Buch.,"In the afternoon, Anna plays piano and reads a book.","[""Translate 'spielt Klavier' = plays piano."", ""Identify 'liest' = reads."", 'Summarize sentence meaning.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_paragraph,في المدرسة، أتعلم وأكتب وأرسم في الدفتر.,"At school, I learn, write, and draw in the notebook.","[""Recognize verbs 'أتعلم' (learn), 'أكتب' (write), 'أرسم' (draw)."", 'Translate to English.', 'Read aloud for fluency.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_translation,– Dove studi? – Studio a casa con mia madre.,– Where do you study? – I study at home with my mother.,"[""Translate 'Dove studi?' = Where do you study?"", ""Recognize 'Studio a casa' = I study at home."", 'Practice full dialogue aloud.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,paragraph_translation,"En la escuela aprendemos inglés, matemáticas y ciencias.","At school, we learn English, math, and science.","[""Identify verbs 'aprendemos' = we learn."", 'Translate subject nouns.', 'Write equivalent English sentence.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_fill,– Où vas-tu ? – Je vais au ______ (cinéma).,– Où vas-tu ? – Je vais au cinéma.,"[""Identify 'Où vas-tu?' = Where are you going?"", ""Insert correct noun 'cinéma'."", 'Practice full dialogue.']"
